rank,title,year,director,borninfo,birthday,birthplace,deathinfo,death_date,age_died,death_place,birthdate,birthyear,age_at_release,country,death_year,released_before_passing,alive
218,Stand by Me,1986,Rob Reiner,"Born: March 6, 1947 in The Bronx, New York City, New York, USA","March 6, 1947","The Bronx, New York City, New York, USA",NA,NA,NA,NA,1947-03-06,1947,39,USA,NA,NA,TRUE
219,Network,1976,Sidney Lumet,"Born: June 25, 1924 in Philadelphia, Pennsylvania, USA","June 25, 1924","Philadelphia, Pennsylvania, USA","Died: April 9, 2011 (age 86) in Manhattan, New York City, New York, USA",2011-04-09,86,"Manhattan, New York City, New York, USA",1924-06-25,1924,52,USA,2011,35,FALSE
220,Logan,2017,James Mangold,"Born: December 16, 1963 in New York City, New York, USA","December 16, 1963","New York City, New York, USA",NA,NA,NA,NA,1963-12-16,1963,54,USA,NA,NA,TRUE
221,Gangs of Wasseypur,2012,Anurag Kashyap,"Born: September 10, 1972 in Gorakhpur, Uttar Pradesh, India","September 10, 1972","Gorakhpur, Uttar Pradesh, India",NA,NA,NA,NA,1972-09-10,1972,40,India,NA,NA,TRUE
222,暴力脱獄,1967,Stuart Rosenberg,"Born: August 11, 1927 in Brooklyn, New York City, New York, USA","August 11, 1927","Brooklyn, New York City, New York, USA","Died: March 15, 2007 (age 79) in Beverly Hills, Los Angeles, California, USA",2007-03-15,79,"Beverly Hills, Los Angeles, California, USA",1927-08-11,1927,40,USA,2007,40,FALSE
223,Hachi: Yakusoku no inu,2009,Lasse Hallström,"Born: June 2, 1946 in Stockholm, Stockholms län, Sweden","June 2, 1946","Stockholm, Stockholms län, Sweden",NA,NA,NA,NA,1946-06-02,1946,63,Sweden,NA,NA,TRUE
224,Nikushimi,1995,Mathieu Kassovitz,"Born: August 3, 1967 in Paris, France","August 3, 1967","Paris, France",NA,NA,NA,NA,1967-08-03,1967,28,France,NA,NA,TRUE
225,Otona wa wakattekurenai,1959,François Truffaut,"Born: February 6, 1932 in Paris, France","February 6, 1932","Paris, France","Died: October 21, 1984 (age 52) in Neuilly-sur-Seine, Hauts-de-Seine, France",1984-10-21,52,"Neuilly-sur-Seine, Hauts-de-Seine, France",1932-02-06,1932,27,France,1984,25,FALSE
226,Eiga Koe no katachi,2016,Naoko Yamada,"Born: November 28, 1984 in Gunma Prefecture, Japan","November 28, 1984","Gunma Prefecture, Japan",NA,NA,NA,NA,1984-11-28,1984,32,Japan,NA,NA,TRUE
227,Puratôn,1986,Oliver Stone,"Born: September 15, 1946 in New York City, New York, USA","September 15, 1946","New York City, New York, USA",NA,NA,NA,NA,1946-09-15,1946,40,USA,NA,NA,TRUE
228,Spotlight,2015,Tom McCarthy,"Born: June 7, 1966 in New Providence, New Jersey, USA","June 7, 1966","New Providence, New Jersey, USA",NA,NA,NA,NA,1966-06-07,1966,49,USA,NA,NA,TRUE
229,Monsutâzu Inku,2001,Pete Docter,"Born: October 9, 1968 in Bloomington, Minnesota, USA","October 9, 1968","Bloomington, Minnesota, USA",NA,NA,NA,NA,1968-10-09,1968,33,USA,NA,NA,TRUE
230,Rebecca,1940,Alfred Hitchcock,"Born: August 13, 1899 in Leytonstone, London, England, UK","August 13, 1899","Leytonstone, London, England, UK","Died: April 29, 1980 (age 80) in Bel Air, Los Angeles, California, USA",1980-04-29,80,"Bel Air, Los Angeles, California, USA",1899-08-13,1899,41,UK,1980,40,FALSE
231,Monti Paison Raifu obu Buraian,1979,Terry Jones,"Born: February 1, 1942 in Colwyn Bay, Wales, UK","February 1, 1942","Colwyn Bay, Wales, UK","Died: January 21, 2020 (age 77) in London, England, UK",2020-01-21,77,"London, England, UK",1942-02-01,1942,37,UK,2020,41,FALSE
232,Hotel Rwanda,2004,Terry George,"Born: December 20, 1952 in Belfast, Northern Ireland, UK","December 20, 1952","Belfast, Northern Ireland, UK",NA,NA,NA,NA,1952-12-20,1952,52,UK,NA,NA,TRUE
233,Eskiya,1996,Yavuz Turgul,"Born: April 5, 1946 in Istanbul, Turkey","April 5, 1946","Istanbul, Turkey",NA,NA,NA,NA,1946-04-05,1946,50,Turkey,NA,NA,TRUE
234,Fa yeung nin wah,2000,Kar-Wai Wong,"Born: July 17, 1956 in Shanghai, China","July 17, 1956","Shanghai, China",NA,NA,NA,NA,1956-07-17,1956,44,China,NA,NA,TRUE
235,Rasshu: Puraido to yûjô,2013,Ron Howard,"Born: March 1, 1954 in Duncan, Oklahoma, USA","March 1, 1954","Duncan, Oklahoma, USA",NA,NA,NA,NA,1954-03-01,1954,59,USA,NA,NA,TRUE
236,Into the Wild,2007,Sean Penn,"Born: August 17, 1960 in Santa Monica, California, USA","August 17, 1960","Santa Monica, California, USA",NA,NA,NA,NA,1960-08-17,1960,47,USA,NA,NA,TRUE
237,Rokki,1976,John G. Avildsen,"Born: December 21, 1935 in Oak Park, Illinois, USA","December 21, 1935","Oak Park, Illinois, USA","Died: June 16, 2017 (age 81) in Los Angeles, California, USA",2017-06-16,81,"Los Angeles, California, USA",1935-12-21,1935,41,USA,2017,41,FALSE
238,Amores perros,2000,Alejandro G. Iñárritu,"Born: August 15, 1963 in Mexico City, Distrito Federal, Mexico","August 15, 1963","Mexico City, Distrito Federal, Mexico",NA,NA,NA,NA,1963-08-15,1963,37,Mexico,NA,NA,TRUE
239,Kaze no tani no Naushika,1984,Hayao Miyazaki,"Born: January 5, 1941 in Tokyo, Japan","January 5, 1941","Tokyo, Japan",NA,NA,NA,NA,1941-01-05,1941,43,Japan,NA,NA,TRUE
240,Andrei Rublev,1966,Andrei Tarkovsky,"Born: April 4, 1932 in Zavrazhe, Yurevetskiy rayon, Ivanovskaya Promyshlennaya oblast, RSFSR, USSR [now Ivanovskaya oblast, Russia]","April 4, 1932","Zavrazhe, Yurevetskiy rayon, Ivanovskaya Promyshlennaya oblast, RSFSR, USSR [now Ivanovskaya oblast, Russia]","Died: December 29, 1986 (age 54) in Neuilly-sur-Seine, Hauts-de-Seine, France",1986-12-29,54,"Neuilly-sur-Seine, Hauts-de-Seine, France",1932-04-04,1932,34,Russia,1986,20,FALSE
241,Aru yo no dekigoto,1934,Frank Capra,"Born: May 18, 1897 in Bisacquino, Sicily, Italy","May 18, 1897","Bisacquino, Sicily, Italy","Died: September 3, 1991 (age 94) in La Quinta, California, USA",1991-09-03,94,"La Quinta, California, USA",1897-05-18,1897,37,Italy,1991,57,FALSE
242,ビフォア・サンセット,2004,Richard Linklater,"Born: July 30, 1960 in Houston, Texas, USA","July 30, 1960","Houston, Texas, USA",NA,NA,NA,NA,1960-07-30,1960,44,USA,NA,NA,TRUE
243,96,2018,C. Prem Kumar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
244,Fanî to Arekusanderu,1982,Ingmar Bergman,"Born: July 14, 1918 in Uppsala, Uppsala län, Sweden","July 14, 1918","Uppsala, Uppsala län, Sweden","Died: July 30, 2007 (age 89) in Fårö, Gotlands län, Sweden",2007-07-30,89,"Fårö, Gotlands län, Sweden",1918-07-14,1918,64,Sweden,2007,25,FALSE
245,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,Hideaki Anno,"Born: May 22, 1960 in Ube, Japan","May 22, 1960","Ube, Japan",NA,NA,NA,NA,1960-05-22,1960,37,Japan,NA,NA,TRUE
246,アルジェの戦い,1966,Gillo Pontecorvo,"Born: November 19, 1919 in Pisa, Tuscany, Italy","November 19, 1919","Pisa, Tuscany, Italy","Died: October 12, 2006 (age 86) in Rome, Lazio, Italy",2006-10-12,86,"Rome, Lazio, Italy",1919-11-19,1919,47,Italy,2006,40,FALSE
247,Kabiria no yoru,1957,Federico Fellini,"Born: January 20, 1920 in Rimini, Emilia-Romagna, Italy","January 20, 1920","Rimini, Emilia-Romagna, Italy","Died: October 31, 1993 (age 73) in Rome, Lazio, Italy",1993-10-31,73,"Rome, Lazio, Italy",1920-01-20,1920,37,Italy,1993,36,FALSE
248,The Princess Bride,1987,Rob Reiner,"Born: March 6, 1947 in The Bronx, New York City, New York, USA","March 6, 1947","The Bronx, New York City, New York, USA",NA,NA,NA,NA,1947-03-06,1947,40,USA,NA,NA,TRUE
249,"Pari, Tekisasu",1984,Wim Wenders,"Born: August 14, 1945 in Düsseldorf, Germany","August 14, 1945","Düsseldorf, Germany",NA,NA,NA,NA,1945-08-14,1945,39,Germany,NA,NA,TRUE
250,Ratsasan,2018,Ram Kumar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
